txId,class
tx_100000,unknown
tx_100001,unknown
tx_100002,unknown
tx_100003,unknown
tx_100004,unknown
tx_100005,1
tx_100006,unknown
tx_100007,unknown
tx_100008,unknown
tx_100009,2
tx_100010,unknown
tx_100011,1
tx_100012,unknown
tx_100013,2
tx_100014,unknown
tx_100015,unknown
tx_100016,2
tx_100017,unknown
tx_100018,unknown
tx_100019,unknown
tx_100020,unknown
tx_100021,unknown
tx_100022,unknown
tx_100023,unknown
tx_100024,unknown
tx_100025,unknown
tx_100026,unknown
tx_100027,unknown
tx_100028,2
tx_100029,unknown
tx_100030,unknown
tx_100031,unknown
tx_100032,unknown
tx_100033,unknown
tx_100034,unknown
tx_100035,2
tx_100036,2
tx_100037,unknown
tx_100038,unknown
tx_100039,2
tx_100040,unknown
tx_100041,unknown
tx_100042,unknown
tx_100043,unknown
tx_100044,2
tx_100045,2
tx_100046,unknown
tx_100047,unknown
tx_100048,unknown
tx_100049,unknown
tx_100050,2
tx_100051,unknown
tx_100052,2
tx_100053,unknown
tx_100054,unknown
tx_100055,unknown
tx_100056,unknown
tx_100057,unknown
tx_100058,unknown
tx_100059,unknown
tx_100060,unknown
tx_100061,unknown
tx_100062,2
tx_100063,unknown
tx_100064,2
tx_100065,2
tx_100066,unknown
tx_100067,unknown
tx_100068,2
tx_100069,unknown
tx_100070,unknown
tx_100071,unknown
tx_100072,unknown
tx_100073,2
tx_100074,unknown
tx_100075,2
tx_100076,unknown
tx_100077,1
tx_100078,unknown
tx_100079,unknown
tx_100080,unknown
tx_100081,unknown
tx_100082,unknown
tx_100083,2
tx_100084,unknown
tx_100085,unknown
tx_100086,unknown
tx_100087,2
tx_100088,2
tx_100089,2
tx_100090,2
tx_100091,unknown
tx_100092,2
tx_100093,2
tx_100094,unknown
tx_100095,unknown
tx_100096,unknown
tx_100097,2
tx_100098,unknown
tx_100099,unknown
tx_100100,unknown
tx_100101,unknown
tx_100102,unknown
tx_100103,unknown
tx_100104,unknown
tx_100105,unknown
tx_100106,unknown
tx_100107,1
tx_100108,unknown
tx_100109,unknown
tx_100110,2
tx_100111,unknown
tx_100112,unknown
tx_100113,unknown
tx_100114,unknown
tx_100115,1
tx_100116,unknown
tx_100117,unknown
tx_100118,unknown
tx_100119,2
tx_100120,unknown
tx_100121,2
tx_100122,2
tx_100123,unknown
tx_100124,unknown
tx_100125,unknown
tx_100126,unknown
tx_100127,unknown
tx_100128,1
tx_100129,2
tx_100130,unknown
tx_100131,unknown
tx_100132,unknown
tx_100133,1
tx_100134,unknown
tx_100135,unknown
tx_100136,unknown
tx_100137,2
tx_100138,unknown
tx_100139,unknown
tx_100140,unknown
tx_100141,unknown
tx_100142,unknown
tx_100143,unknown
tx_100144,unknown
tx_100145,2
