txId1,txId2
tx_100000,tx_100366
tx_100001,tx_100861
tx_100002,tx_100768
tx_100002,tx_100869
tx_100003,tx_100507
tx_100003,tx_100697
tx_100004,tx_100673
tx_100005,tx_100077
tx_100006,tx_100981
tx_100007,tx_100069
tx_100008,tx_100621
tx_100009,tx_100022
tx_100009,tx_100871
tx_100009,tx_100583
tx_100010,tx_100003
tx_100010,tx_100455
tx_100010,tx_100626
tx_100011,tx_100217
tx_100012,tx_100650
tx_100012,tx_100624
tx_100013,tx_100842
tx_100013,tx_100799
tx_100014,tx_100723
tx_100015,tx_100457
tx_100016,tx_100539
tx_100017,tx_100649
tx_100018,tx_100449
tx_100019,tx_100655
tx_100019,tx_100382
tx_100019,tx_100827
tx_100020,tx_100984
tx_100020,tx_100785
tx_100021,tx_100361
tx_100022,tx_100452
tx_100023,tx_100877
tx_100023,tx_100100
tx_100023,tx_100566
tx_100024,tx_100770
tx_100024,tx_100593
tx_100025,tx_100975
tx_100025,tx_100606
tx_100025,tx_100657
tx_100026,tx_100701
tx_100026,tx_100851
tx_100026,tx_100187
tx_100027,tx_100379
tx_100027,tx_100442
tx_100028,tx_100290
tx_100028,tx_100575
tx_100028,tx_100211
tx_100029,tx_100520
tx_100029,tx_100061
tx_100029,tx_100085
tx_100030,tx_100274
tx_100030,tx_100603
tx_100030,tx_100295
tx_100031,tx_100987
tx_100031,tx_100134
tx_100032,tx_100831
tx_100033,tx_100631
tx_100034,tx_100583
tx_100034,tx_100988
tx_100034,tx_100640
tx_100035,tx_100423
tx_100035,tx_100266
tx_100036,tx_100711
tx_100036,tx_100764
tx_100036,tx_100802
tx_100037,tx_100165
tx_100038,tx_100626
tx_100038,tx_100685
tx_100038,tx_100183
tx_100039,tx_100542
tx_100039,tx_100705
tx_100039,tx_100309
tx_100040,tx_100674
tx_100040,tx_100203
tx_100040,tx_100359
tx_100041,tx_100849
tx_100042,tx_100639
tx_100043,tx_100433
tx_100043,tx_100397
tx_100044,tx_100523
tx_100044,tx_100482
tx_100044,tx_100076
tx_100045,tx_100071
tx_100045,tx_100668
tx_100045,tx_100866
tx_100046,tx_100440
tx_100046,tx_100592
tx_100047,tx_100900
tx_100047,tx_100576
tx_100047,tx_100812
tx_100048,tx_100849
tx_100049,tx_100217
tx_100050,tx_100083
tx_100051,tx_100362
tx_100051,tx_100269
tx_100052,tx_100925
tx_100053,tx_100365
tx_100054,tx_100615
tx_100055,tx_100830
tx_100056,tx_100781
tx_100056,tx_100508
tx_100057,tx_100138
tx_100058,tx_100140
tx_100058,tx_100000
tx_100058,tx_100747
tx_100059,tx_100985
tx_100060,tx_100999
tx_100061,tx_100019
tx_100061,tx_100880
tx_100062,tx_100275
tx_100063,tx_100381
tx_100063,tx_100793
tx_100064,tx_100360
tx_100064,tx_100558
tx_100065,tx_100808
tx_100065,tx_100662
tx_100065,tx_100143
tx_100066,tx_100772
tx_100066,tx_100072
tx_100067,tx_100373
tx_100068,tx_100930
tx_100068,tx_100783
tx_100069,tx_100305
tx_100070,tx_100936
tx_100070,tx_100837
tx_100070,tx_100069
tx_100071,tx_100711
tx_100071,tx_100209
tx_100071,tx_100212
tx_100072,tx_100457
tx_100072,tx_100041
tx_100072,tx_100146
tx_100073,tx_100202
tx_100073,tx_100303
tx_100074,tx_100011
tx_100074,tx_100383
tx_100075,tx_100958
tx_100076,tx_100309
tx_100077,tx_100223
tx_100078,tx_100660
tx_100078,tx_100159
tx_100079,tx_100499
tx_100080,tx_100670
tx_100081,tx_100641
tx_100081,tx_100702
tx_100081,tx_100788
tx_100082,tx_100397
tx_100083,tx_100686
tx_100083,tx_100673
tx_100083,tx_100394
tx_100084,tx_100929
tx_100085,tx_100684
tx_100085,tx_100034
tx_100086,tx_100103
tx_100086,tx_100778
tx_100086,tx_100836
tx_100087,tx_100058
tx_100087,tx_100859
tx_100087,tx_100325
tx_100088,tx_100183
tx_100088,tx_100591
tx_100088,tx_100275
tx_100089,tx_100540
tx_100089,tx_100453
tx_100089,tx_100756
tx_100090,tx_100415
tx_100091,tx_100447
tx_100091,tx_100173
tx_100092,tx_100064
tx_100092,tx_100980
tx_100092,tx_100314
tx_100093,tx_100670
tx_100094,tx_100577
tx_100095,tx_100181
tx_100095,tx_100058
tx_100096,tx_100602
tx_100096,tx_100847
tx_100096,tx_100333
tx_100097,tx_100529
tx_100098,tx_100810
tx_100098,tx_100523
tx_100099,tx_100369
tx_100099,tx_100951
tx_100100,tx_100218
tx_100100,tx_100411
tx_100100,tx_100410
tx_100101,tx_100367
tx_100102,tx_100662
tx_100102,tx_100461
tx_100102,tx_100137
tx_100103,tx_100082
tx_100103,tx_100563
tx_100104,tx_100308
tx_100105,tx_100614
tx_100105,tx_100690
tx_100106,tx_100630
tx_100106,tx_100856
tx_100107,tx_100432
tx_100107,tx_100679
tx_100108,tx_100007
tx_100108,tx_100290
tx_100108,tx_100916
tx_100109,tx_100699
tx_100109,tx_100899
tx_100109,tx_100972
tx_100110,tx_100153
tx_100110,tx_100911
tx_100110,tx_100452
tx_100111,tx_100648
tx_100111,tx_100918
tx_100112,tx_100745
tx_100112,tx_100187
tx_100112,tx_100445
tx_100113,tx_100124
tx_100113,tx_100647
tx_100113,tx_100900
tx_100114,tx_100418
tx_100115,tx_100031
tx_100115,tx_100319
tx_100116,tx_100449
tx_100117,tx_100391
tx_100117,tx_100578
tx_100118,tx_100896
tx_100119,tx_100687
tx_100119,tx_100655
tx_100120,tx_100214
tx_100120,tx_100894
tx_100121,tx_100541
tx_100121,tx_100569
tx_100122,tx_100031
tx_100122,tx_100235
tx_100123,tx_100339
tx_100124,tx_100810
tx_100124,tx_100482
tx_100125,tx_100460
tx_100126,tx_100544
tx_100126,tx_100480
tx_100127,tx_100251
tx_100127,tx_100510
tx_100127,tx_100030
tx_100128,tx_100072
tx_100128,tx_100814
tx_100129,tx_100578
tx_100129,tx_100892
tx_100129,tx_100083
tx_100130,tx_100887
tx_100130,tx_100296
tx_100130,tx_100293
tx_100131,tx_100908
tx_100132,tx_100234
tx_100132,tx_100189
tx_100133,tx_100028
tx_100133,tx_100767
tx_100134,tx_100207
tx_100134,tx_100720
tx_100135,tx_100463
tx_100135,tx_100749
tx_100135,tx_100512
tx_100136,tx_100663
tx_100136,tx_100712
tx_100137,tx_100176
tx_100137,tx_100491
tx_100138,tx_100718
tx_100139,tx_100046
tx_100140,tx_100929
tx_100141,tx_100447
tx_100142,tx_100253
tx_100142,tx_100869
tx_100143,tx_100845
tx_100143,tx_100540
tx_100143,tx_100405
tx_100144,tx_100868
tx_100144,tx_100549
tx_100144,tx_100439
tx_100145,tx_100024
tx_100145,tx_100889
tx_100146,tx_100655
tx_100147,tx_100083
tx_100147,tx_100372
tx_100147,tx_100086
tx_100148,tx_100709
tx_100148,tx_100091
tx_100149,tx_100928
tx_100149,tx_100023
tx_100150,tx_100954
tx_100150,tx_100905
tx_100151,tx_100081
tx_100152,tx_100862
tx_100152,tx_100854
tx_100153,tx_100184
tx_100153,tx_100712
tx_100154,tx_100457
tx_100154,tx_100687
tx_100154,tx_100722
tx_100155,tx_100002
tx_100156,tx_100734
tx_100156,tx_100085
tx_100156,tx_100496
tx_100157,tx_100219
tx_100158,tx_100557
tx_100158,tx_100892
tx_100158,tx_100199
tx_100159,tx_100540
tx_100159,tx_100120
tx_100160,tx_100937
tx_100161,tx_100400
tx_100161,tx_100731
tx_100161,tx_100045
tx_100162,tx_100602
tx_100163,tx_100834
tx_100163,tx_100713
tx_100164,tx_100298
tx_100164,tx_100198
tx_100165,tx_100037
tx_100165,tx_100069
tx_100166,tx_100572
tx_100166,tx_100640
tx_100166,tx_100022
tx_100167,tx_100823
tx_100168,tx_100788
tx_100168,tx_100818
tx_100169,tx_100888
tx_100169,tx_100693
tx_100169,tx_100136
tx_100170,tx_100408
tx_100171,tx_100041
tx_100171,tx_100967
tx_100171,tx_100050
tx_100172,tx_100171
tx_100172,tx_100689
tx_100172,tx_100888
tx_100173,tx_100853
tx_100173,tx_100605
tx_100174,tx_100508
tx_100174,tx_100559
tx_100174,tx_100319
tx_100175,tx_100229
tx_100176,tx_100902
tx_100177,tx_100791
tx_100177,tx_100556
tx_100178,tx_100723
tx_100179,tx_100461
tx_100179,tx_100089
tx_100180,tx_100253
tx_100180,tx_100486
tx_100181,tx_100581
tx_100182,tx_100179
tx_100183,tx_100007
tx_100183,tx_100173
tx_100183,tx_100348
tx_100184,tx_100776
tx_100185,tx_100132
tx_100185,tx_100702
tx_100185,tx_100239
tx_100186,tx_100236
tx_100186,tx_100162
tx_100187,tx_100915
tx_100188,tx_100593
tx_100189,tx_100821
tx_100189,tx_100337
tx_100190,tx_100102
tx_100190,tx_100845
tx_100191,tx_100996
tx_100191,tx_100621
tx_100191,tx_100810
tx_100192,tx_100068
tx_100192,tx_100619
tx_100192,tx_100136
tx_100193,tx_100534
tx_100193,tx_100755
tx_100194,tx_100448
tx_100195,tx_100969
tx_100195,tx_100096
tx_100196,tx_100888
tx_100196,tx_100339
tx_100197,tx_100976
tx_100198,tx_100915
tx_100198,tx_100070
tx_100199,tx_100665
tx_100199,tx_100743
tx_100199,tx_100941
tx_100200,tx_100221
tx_100200,tx_100117
tx_100200,tx_100085
tx_100201,tx_100157
tx_100202,tx_100684
tx_100203,tx_100454
tx_100204,tx_100024
tx_100204,tx_100263
tx_100205,tx_100071
tx_100205,tx_100457
tx_100206,tx_100787
tx_100207,tx_100567
tx_100207,tx_100981
tx_100207,tx_100917
tx_100208,tx_100677
tx_100209,tx_100212
tx_100209,tx_100645
tx_100209,tx_100910
tx_100210,tx_100408
tx_100210,tx_100134
tx_100210,tx_100023
tx_100211,tx_100554
tx_100211,tx_100614
tx_100211,tx_100635
tx_100212,tx_100355
tx_100212,tx_100430
tx_100213,tx_100702
tx_100213,tx_100270
tx_100214,tx_100256
tx_100215,tx_100983
tx_100215,tx_100517
tx_100216,tx_100198
tx_100217,tx_100604
tx_100217,tx_100364
tx_100217,tx_100568
tx_100218,tx_100023
tx_100219,tx_100253
tx_100219,tx_100002
tx_100220,tx_100816
tx_100220,tx_100463
tx_100221,tx_100034
tx_100222,tx_100651
tx_100222,tx_100996
tx_100223,tx_100535
tx_100223,tx_100477
tx_100224,tx_100264
tx_100225,tx_100543
tx_100226,tx_100099
tx_100226,tx_100623
tx_100227,tx_100840
tx_100227,tx_100240
tx_100228,tx_100201
tx_100228,tx_100473
tx_100229,tx_100775
tx_100230,tx_100080
tx_100230,tx_100912
tx_100231,tx_100092
tx_100231,tx_100647
tx_100232,tx_100281
tx_100233,tx_100974
tx_100233,tx_100968
tx_100234,tx_100150
tx_100235,tx_100421
tx_100235,tx_100586
tx_100235,tx_100418
tx_100236,tx_100664
tx_100237,tx_100177
tx_100238,tx_100320
tx_100238,tx_100216
tx_100239,tx_100966
tx_100239,tx_100420
tx_100239,tx_100127
tx_100240,tx_100626
tx_100240,tx_100320
tx_100240,tx_100787
tx_100241,tx_100934
tx_100242,tx_100947
tx_100242,tx_100470
tx_100242,tx_100386
tx_100243,tx_100847
tx_100244,tx_100545
tx_100244,tx_100847
tx_100245,tx_100967
tx_100246,tx_100625
tx_100247,tx_100873
tx_100247,tx_100745
tx_100248,tx_100752
tx_100248,tx_100690
tx_100249,tx_100561
tx_100250,tx_100072
tx_100250,tx_100541
tx_100250,tx_100684
tx_100251,tx_100168
tx_100251,tx_100601
tx_100251,tx_100451
tx_100252,tx_100681
tx_100253,tx_100993
tx_100253,tx_100349
tx_100254,tx_100460
tx_100255,tx_100404
tx_100255,tx_100229
tx_100255,tx_100989
tx_100256,tx_100301
tx_100256,tx_100001
tx_100257,tx_100752
tx_100258,tx_100655
tx_100258,tx_100054
tx_100258,tx_100245
tx_100259,tx_100972
tx_100259,tx_100806
tx_100259,tx_100795
tx_100260,tx_100675
tx_100261,tx_100301
tx_100262,tx_100442
tx_100263,tx_100751
tx_100264,tx_100553
tx_100264,tx_100524
tx_100265,tx_100409
tx_100265,tx_100328
tx_100266,tx_100919
tx_100266,tx_100590
tx_100266,tx_100262
tx_100267,tx_100012
tx_100267,tx_100181
tx_100267,tx_100619
tx_100268,tx_100460
tx_100269,tx_100785
tx_100270,tx_100680
tx_100271,tx_100138
tx_100271,tx_100513
tx_100271,tx_100353
tx_100272,tx_100746
tx_100272,tx_100161
tx_100272,tx_100663
tx_100273,tx_100826
tx_100273,tx_100006
tx_100273,tx_100481
tx_100274,tx_100637
tx_100274,tx_100662
tx_100275,tx_100091
tx_100275,tx_100745
tx_100276,tx_100854
tx_100277,tx_100434
tx_100277,tx_100504
tx_100278,tx_100950
tx_100279,tx_100337
tx_100280,tx_100060
tx_100280,tx_100299
tx_100281,tx_100858
tx_100281,tx_100126
tx_100281,tx_100337
tx_100282,tx_100745
tx_100282,tx_100789
tx_100283,tx_100317
tx_100283,tx_100052
tx_100283,tx_100890
tx_100284,tx_100077
tx_100285,tx_100328
tx_100286,tx_100923
tx_100286,tx_100202
tx_100287,tx_100678
tx_100288,tx_100099
tx_100289,tx_100775
tx_100290,tx_100382
tx_100290,tx_100223
tx_100291,tx_100641
tx_100291,tx_100383
tx_100291,tx_100543
tx_100292,tx_100481
tx_100292,tx_100553
tx_100292,tx_100263
tx_100293,tx_100642
tx_100294,tx_100345
tx_100295,tx_100586
tx_100296,tx_100163
tx_100297,tx_100635
tx_100298,tx_100625
tx_100299,tx_100641
tx_100299,tx_100364
tx_100300,tx_100990
tx_100300,tx_100828
tx_100301,tx_100478
tx_100301,tx_100065
tx_100301,tx_100698
tx_100302,tx_100908
tx_100302,tx_100285
tx_100302,tx_100911
tx_100303,tx_100117
tx_100304,tx_100060
tx_100305,tx_100187
tx_100306,tx_100015
tx_100306,tx_100419
tx_100306,tx_100335
